Sample	posterior	likelihood	prior	directional3d	mutationLikelihood	lambda	alpha	beta	precision.3d.1	precision.3d.2	precision.3d.3	drift.rate.1	drift.rate.2	drift.rate.3	diffusion.rate	trait.3d.1	trait.3d.2	trait.3d.3	trait.3d.4	trait.3d.5	trait.3d.6	trait.3d.7	trait.3d.8	trait.3d.9	trait.3d.10	trait.3d.11	trait.3d.12	trait.3d.13	trait.3d.14	trait.3d.15	trait.3d.16	trait.3d.17	trait.3d.18	popSize	clockRate
24000	-1052.3537910921593	-1035.4077405223802	-16.946050569779135	247.64802491090634	-1283.0557654332865	0.24706149836092925	0.025068993204325273	0.002560468186248307	77.44066733579399	99.80966849579525	88.15211681771419	-5.148915029593624	-6.080360680012062	-0.25739498976568864	5.518989502892797	0.7455610826453238	9.832247146641208	74.76002963369487	-96.3866753336457	97.32496759273292	-40.55221511987452	98.20392486715313	-85.37345505434489	68.71007195955764	-42.09088225624561	68.63895931160225	-92.39117216060357	16.004180906371985	2.299635723389841	39.260202136001	76.92799127189299	-90.64724337743054	91.58819575289957	0.27442429587863354	0.9626697290599209
26000	-1057.1817243369103	-1040.6629076857225	-16.518816651187862	244.09697941767584	-1284.7598871033983	0.264196217987963	0.032794660151900516	0.0029405468138355836	74.17210955095942	94.32423728627803	95.36035722889314	0.06151266936158528	-7.045019413609331	-6.488857825669705	0.3609981115447475	-18.186470755224676	-50.89055667752439	-61.083738936900204	-42.30376750972145	97.46968537934652	9.363658246218904	28.549991610124067	29.04185851211561	57.87839368617469	-23.661791151043985	76.87886102543287	-93.4707564555197	-56.27825135375589	-58.269364927444244	43.78305564059542	61.47693927319709	-25.0732122983447	10.663254451226166	0.34101589258410586	0.970442421305207
28000	-1055.939589966657	-1040.9049614598096	-15.034628506847456	242.11979650031546	-1283.024757960125	0.24996453076287098	0.025096339652003023	0.002022120435519401	93.93105755543314	99.41642694578817	89.13352651966352	-5.383121872165109	-3.647322774341526	3.6200143473107804	1.599817670191861	43.05930025760445	8.088987330929712	-41.92799641333254	-18.89969075321639	-47.70716459352387	33.221942824779674	49.306505332320185	-14.751091011459522	-24.015668130044006	19.35895379448347	-65.77365675553403	94.93112782179448	-0.7815982381278559	-9.749187509388193	-63.31440313199816	-67.01186467374887	5.213198518600976	48.73608695933133	0.2757698481766197	0.9648534859832716
30000	-1049.48962564419	-1037.761199770639	-11.728425873551123	246.10466358323472	-1283.8658633538737	0.2697733453938862	0.025770829662978518	0.0033081599876186828	85.38673400521796	87.07096162990283	99.8276252068733	-0.5208973462353015	-1.9441649884732772	2.730467058393513	0.8387655517957353	46.648060545045325	29.096928956516763	8.317331258614587	55.23096104303997	-66.63728223745915	-52.02718561576263	-90.51355285778875	52.07785095624348	-59.890047963768225	-64.64233828572951	-81.56746240431387	-62.0519714174998	15.257514402310335	58.75656914723611	-31.77530861362432	-44.74218079253666	8.371747037991014	38.817924586199865	0.2106673524323602	0.9438719968620497
32000	-1055.1710449544	-1044.4642801667578	-10.70676478764214	242.85571577285702	-1287.319995939615	0.24886407643634897	0.024046939966054174	0.0031899922189767903	86.30379197085868	70.40498327126022	75.82685155817434	-0.8202297150704938	4.945881965266653	4.665712182340361	0.4486997318099798	40.905877099907386	67.83136746372867	-7.565489395698918	41.17091322177417	33.54512314695927	-63.043987637939466	28.492009677816554	88.40340113992983	28.003048776041354	-78.29379766918379	-3.2741859456885294	-0.2535354597081323	0.3475303280269202	-16.203247097014398	-56.48083091503685	-75.15405886620151	75.52073774074803	-48.81292148437781	0.2091298006458734	0.9557140445175031
34000	-1051.835089209527	-1039.2363205881547	-12.598768621372406	244.76481274345636	-1284.001133331611	0.24905014606641074	0.025633716915666845	0.002258049448006829	94.10601087403472	99.97766988276251	94.55633534053145	3.523788497532524	-0.7992679552536677	1.454787915161484	0.8329421456879542	66.83766837067569	-2.0411476728399975	65.45334538607972	-63.816083877119425	31.70282977192825	27.8758351525304	89.47048014209408	62.45654037208067	31.92426721464288	71.96959244231141	59.11768362961651	-27.89992416031484	22.820386969540607	-29.290021633872982	-37.83036649717802	33.08556756382313	46.84292266537227	72.15847346817473	0.27755556441541884	0.8288358743536429
36000	-1048.2204573497927	-1033.5307588269886	-14.689698522804118	250.0995135618063	-1283.630272388795	0.25876325623808727	0.021608844140236658	0.0027322396064372177	81.56163668464612	94.81997226864242	91.77826348174618	0.708861121085401	5.058714365727266	-2.762871589882879	4.51025402227509	-18.556334529170556	-73.90326640761867	22.043895304739408	4.7890533814219225	-60.61744034223621	62.471313754105324	-61.486047087829604	40.4202607770856	33.27682364587319	65.13807802621284	-74.75306995063501	-20.19368877687718	-75.7009175241767	-94.57763602337619	89.2035513768843	73.52050383400406	-78.8473706651417	-69.6195112580568	0.1763017312962512	0.9077496621037626
38000	-1051.3184750307096	-1035.5297606081556	-15.788714422553895	249.62249965273455	-1285.1522602608902	0.2350837807019578	0.020932468473698118	0.0030701617664362847	91.44159427235985	89.89712214574548	96.65342826286485	6.251050457562474	4.615524878621901	-3.7897600447460906	4.8728837232425715	-42.803014888341664	73.51537511946026	34.09080692078314	31.745570839551945	-33.51216120467346	8.74946244823056	80.75281892000643	-59.91827213731443	95.14582619258347	-68.33480158533709	52.644005582901116	-3.402279369164063	-18.60836887037911	57.166398043565536	53.146895096490695	-98.5774922059881	55.19522800740346	81.08663064768308	0.18302461563546307	0.8616532310858603
40000	-1048.725779683663	-1035.8665132810638	-12.859266402599056	250.0850000000607	-1285.9515132811246	0.27669580197169963	0.02895600540342001	0.0019187691642397488	86.86274229671834	96.27755280157173	94.94152666693336	5.150973790724601	4.760083895060536	-0.35914523248923835	0.8425270333643867	-79.82167720451714	52.44664596648653	77.8994799340451	-99.15249009126335	-30.863051009821262	-57.94218491956967	-28.566505610433893	-55.89524101207233	-61.238659104578105	-77.07401485475592	76.02620177083253	-3.292205557859191	4.093647815950362	-58.335276989863914	68.54976029777625	5.404705862739306	32.92627525216433	-6.360668382160739	0.27619230676625184	0.9515179558044322
42000	-1049.4142052596342	-1034.2479919496063	-15.166213310027754	249.19814026494907	-1283.4461322145553	0.24642931625885198	0.022062562761391114	0.0031073135340419574	78.48688779904757	71.1638897371541	78.96186664835584	4.938806627330051	-1.2152186713666726	8.353278707069132	0.37767831209771585	23.23539967771667	50.80968864848036	26.640597317387062	-90.01601457524866	-74.93642278110103	-42.034350514550326	91.81023159615484	-84.11335547170974	-12.72420002926701	-80.10986643784686	74.65119059064187	-52.713715176775025	71.21226004410997	83.57082308032308	19.50216092674377	12.769986460379826	78.40763491533123	-16.33659614237864	0.400853474103063	0.8231117500902031
